Date,ProductID,ProductName,Qty,Price,Cost,CurrentStock
2026-06-26,SKU-TELUR-01,Telur Ayam Ras 1kg,48,31000,26500,15
2026-06-27,SKU-TELUR-01,Telur Ayam Ras 1kg,51,31000,26500,15
2026-06-28,SKU-TELUR-01,Telur Ayam Ras 1kg,50,31000,26500,15
2026-06-29,SKU-TELUR-01,Telur Ayam Ras 1kg,59,31000,26500,15
2026-06-30,SKU-TELUR-01,Telur Ayam Ras 1kg,65,31000,26500,15
2026-07-01,SKU-TELUR-01,Telur Ayam Ras 1kg,49,31000,26500,15
2026-07-02,SKU-TELUR-01,Telur Ayam Ras 1kg,42,31000,26500,15
2026-07-03,SKU-TELUR-01,Telur Ayam Ras 1kg,37,31000,26500,15
2026-07-04,SKU-TELUR-01,Telur Ayam Ras 1kg,40,31000,26500,15
2026-07-05,SKU-TELUR-01,Telur Ayam Ras 1kg,51,31000,26500,15
2026-07-06,SKU-TELUR-01,Telur Ayam Ras 1kg,46,31000,26500,15
2026-07-07,SKU-TELUR-01,Telur Ayam Ras 1kg,34,31000,26500,15
2026-07-08,SKU-TELUR-01,Telur Ayam Ras 1kg,47,31000,26500,15
2026-07-09,SKU-TELUR-01,Telur Ayam Ras 1kg,14,31000,26500,15
2026-07-10,SKU-TELUR-01,Telur Ayam Ras 1kg,41,31000,26500,15
2026-07-11,SKU-TELUR-01,Telur Ayam Ras 1kg,48,31000,26500,15
2026-07-12,SKU-TELUR-01,Telur Ayam Ras 1kg,44,31000,26500,15
2026-07-13,SKU-TELUR-01,Telur Ayam Ras 1kg,35,31000,26500,15
2026-07-14,SKU-TELUR-01,Telur Ayam Ras 1kg,19,31000,26500,15
2026-07-15,SKU-TELUR-01,Telur Ayam Ras 1kg,33,31000,26500,15
2026-07-16,SKU-TELUR-01,Telur Ayam Ras 1kg,37,31000,26500,15
2026-07-17,SKU-TELUR-01,Telur Ayam Ras 1kg,46,31000,26500,15
2026-07-18,SKU-TELUR-01,Telur Ayam Ras 1kg,41,31000,26500,15
2026-07-19,SKU-TELUR-01,Telur Ayam Ras 1kg,38,31000,26500,15
2026-07-20,SKU-TELUR-01,Telur Ayam Ras 1kg,31,31000,26500,15
2026-07-21,SKU-TELUR-01,Telur Ayam Ras 1kg,42,31000,26500,15
2026-07-22,SKU-TELUR-01,Telur Ayam Ras 1kg,37,31000,26500,15
2026-07-23,SKU-TELUR-01,Telur Ayam Ras 1kg,30,31000,26500,15
2026-07-24,SKU-TELUR-01,Telur Ayam Ras 1kg,38,31000,26500,15
2026-07-25,SKU-TELUR-01,Telur Ayam Ras 1kg,69,31000,26500,15
2026-07-26,SKU-TELUR-01,Telur Ayam Ras 1kg,83,31000,26500,15
2026-07-27,SKU-TELUR-01,Telur Ayam Ras 1kg,42,31000,26500,15
2026-07-28,SKU-TELUR-01,Telur Ayam Ras 1kg,47,31000,26500,15
2026-07-29,SKU-TELUR-01,Telur Ayam Ras 1kg,46,31000,26500,15
2026-07-30,SKU-TELUR-01,Telur Ayam Ras 1kg,34,31000,26500,15
2026-07-31,SKU-TELUR-01,Telur Ayam Ras 1kg,54,31000,26500,15
2026-08-01,SKU-TELUR-01,Telur Ayam Ras 1kg,72,31000,26500,15
2026-08-02,SKU-TELUR-01,Telur Ayam Ras 1kg,47,31000,26500,15
2026-08-03,SKU-TELUR-01,Telur Ayam Ras 1kg,33,31000,26500,15
2026-08-04,SKU-TELUR-01,Telur Ayam Ras 1kg,24,31000,26500,15
2026-08-05,SKU-TELUR-01,Telur Ayam Ras 1kg,31,31000,26500,15
2026-08-06,SKU-TELUR-01,Telur Ayam Ras 1kg,32,31000,26500,15
2026-08-07,SKU-TELUR-01,Telur Ayam Ras 1kg,28,31000,26500,15
2026-08-08,SKU-TELUR-01,Telur Ayam Ras 1kg,68,31000,26500,15
2026-08-09,SKU-TELUR-01,Telur Ayam Ras 1kg,51,31000,26500,15
2026-08-10,SKU-TELUR-01,Telur Ayam Ras 1kg,49,31000,26500,15
2026-08-11,SKU-TELUR-01,Telur Ayam Ras 1kg,36,31000,26500,15
2026-08-12,SKU-TELUR-01,Telur Ayam Ras 1kg,36,31000,26500,15
2026-08-13,SKU-TELUR-01,Telur Ayam Ras 1kg,34,31000,26500,15
2026-08-14,SKU-TELUR-01,Telur Ayam Ras 1kg,20,31000,26500,15
2026-08-15,SKU-TELUR-01,Telur Ayam Ras 1kg,46,31000,26500,15
2026-08-16,SKU-TELUR-01,Telur Ayam Ras 1kg,47,31000,26500,15
2026-08-17,SKU-TELUR-01,Telur Ayam Ras 1kg,80,31000,26500,15
2026-08-18,SKU-TELUR-01,Telur Ayam Ras 1kg,33,31000,26500,15
2026-08-19,SKU-TELUR-01,Telur Ayam Ras 1kg,37,31000,26500,15
2026-08-20,SKU-TELUR-01,Telur Ayam Ras 1kg,34,31000,26500,15
2026-08-21,SKU-TELUR-01,Telur Ayam Ras 1kg,26,31000,26500,15
2026-08-22,SKU-TELUR-01,Telur Ayam Ras 1kg,59,31000,26500,15
2026-08-23,SKU-TELUR-01,Telur Ayam Ras 1kg,55,31000,26500,15
2026-06-25,SKU-BERAS-05,Beras Ramos Premium 5kg,26,78000,68000,10
2026-06-26,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-06-27,SKU-BERAS-05,Beras Ramos Premium 5kg,40,78000,68000,10
2026-06-28,SKU-BERAS-05,Beras Ramos Premium 5kg,22,78000,68000,10
2026-06-29,SKU-BERAS-05,Beras Ramos Premium 5kg,25,78000,68000,10
2026-06-30,SKU-BERAS-05,Beras Ramos Premium 5kg,33,78000,68000,10
2026-07-01,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-07-02,SKU-BERAS-05,Beras Ramos Premium 5kg,14,78000,68000,10
2026-07-03,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-07-04,SKU-BERAS-05,Beras Ramos Premium 5kg,19,78000,68000,10
2026-07-05,SKU-BERAS-05,Beras Ramos Premium 5kg,14,78000,68000,10
2026-07-06,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-07-07,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,10
2026-07-08,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,10
2026-07-09,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,10
2026-07-10,SKU-BERAS-05,Beras Ramos Premium 5kg,20,78000,68000,10
2026-07-11,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-07-12,SKU-BERAS-05,Beras Ramos Premium 5kg,20,78000,68000,10
2026-07-13,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-07-14,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,10
2026-07-15,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-07-16,SKU-BERAS-05,Beras Ramos Premium 5kg,20,78000,68000,10
2026-07-17,SKU-BERAS-05,Beras Ramos Premium 5kg,10,78000,68000,10
2026-07-18,SKU-BERAS-05,Beras Ramos Premium 5kg,22,78000,68000,10
2026-07-19,SKU-BERAS-05,Beras Ramos Premium 5kg,22,78000,68000,10
2026-07-20,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-07-21,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,10
2026-07-22,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,10
2026-07-23,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,10
2026-07-24,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-07-25,SKU-BERAS-05,Beras Ramos Premium 5kg,32,78000,68000,10
2026-07-26,SKU-BERAS-05,Beras Ramos Premium 5kg,33,78000,68000,10
2026-07-27,SKU-BERAS-05,Beras Ramos Premium 5kg,20,78000,68000,10
2026-07-28,SKU-BERAS-05,Beras Ramos Premium 5kg,24,78000,68000,10
2026-07-29,SKU-BERAS-05,Beras Ramos Premium 5kg,24,78000,68000,10
2026-07-30,SKU-BERAS-05,Beras Ramos Premium 5kg,19,78000,68000,10
2026-07-31,SKU-BERAS-05,Beras Ramos Premium 5kg,31,78000,68000,10
2026-08-01,SKU-BERAS-05,Beras Ramos Premium 5kg,34,78000,68000,10
2026-08-02,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-08-03,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-08-04,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,10
2026-08-05,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-08-06,SKU-BERAS-05,Beras Ramos Premium 5kg,19,78000,68000,10
2026-08-07,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,10
2026-08-08,SKU-BERAS-05,Beras Ramos Premium 5kg,38,78000,68000,10
2026-08-09,SKU-BERAS-05,Beras Ramos Premium 5kg,23,78000,68000,10
2026-08-10,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-08-11,SKU-BERAS-05,Beras Ramos Premium 5kg,22,78000,68000,10
2026-08-12,SKU-BERAS-05,Beras Ramos Premium 5kg,15,78000,68000,10
2026-08-13,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,10
2026-08-14,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,10
2026-08-15,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-08-16,SKU-BERAS-05,Beras Ramos Premium 5kg,21,78000,68000,10
2026-08-17,SKU-BERAS-05,Beras Ramos Premium 5kg,25,78000,68000,10
2026-08-18,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-08-19,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,10
2026-08-20,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,10
2026-08-21,SKU-BERAS-05,Beras Ramos Premium 5kg,20,78000,68000,10
2026-08-22,SKU-BERAS-05,Beras Ramos Premium 5kg,20,78000,68000,10
2026-08-23,SKU-BERAS-05,Beras Ramos Premium 5kg,33,78000,68000,10
2026-06-25,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,21,118000,106000,75
2026-06-26,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-06-27,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,18,118000,106000,75
2026-06-28,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,28,118000,106000,75
2026-06-29,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,17,118000,106000,75
2026-06-30,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,22,118000,106000,75
2026-07-01,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,21,118000,106000,75
2026-07-02,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,12,118000,106000,75
2026-07-03,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,10,118000,106000,75
2026-07-04,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,10,118000,106000,75
2026-07-05,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-07-06,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-07-07,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-07-08,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,75
2026-07-09,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-07-10,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-07-11,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-07-12,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,18,118000,106000,75
2026-07-13,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-07-14,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,75
2026-07-15,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-07-16,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-07-17,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,16,118000,106000,75
2026-07-18,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,22,118000,106000,75
2026-07-19,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,11,118000,106000,75
2026-07-20,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,75
2026-07-21,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-07-22,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-07-23,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-07-24,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,25,118000,106000,75
2026-07-25,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,29,118000,106000,75
2026-07-26,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,32,118000,106000,75
2026-07-27,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,23,118000,106000,75
2026-07-28,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,21,118000,106000,75
2026-07-29,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,17,118000,106000,75
2026-07-30,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,22,118000,106000,75
2026-07-31,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-08-01,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,23,118000,106000,75
2026-08-02,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-08-03,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-08-04,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,20,118000,106000,75
2026-08-05,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,6,118000,106000,75
2026-08-06,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-08-07,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,7,118000,106000,75
2026-08-08,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,23,118000,106000,75
2026-08-09,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,22,118000,106000,75
2026-08-10,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-08-11,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,75
2026-08-12,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,10,118000,106000,75
2026-08-13,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-08-14,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,10,118000,106000,75
2026-08-15,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,18,118000,106000,75
2026-08-16,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,17,118000,106000,75
2026-08-17,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,16,118000,106000,75
2026-08-18,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,19,118000,106000,75
2026-08-19,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,75
2026-08-20,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,6,118000,106000,75
2026-08-21,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,75
2026-08-22,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,75
2026-08-23,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,21,118000,106000,75
2026-06-25,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,110
2026-06-26,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,25,32000,27000,110
2026-06-27,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,38,32000,27000,110
2026-06-28,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,41,32000,27000,110
2026-06-29,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,110
2026-06-30,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,24,32000,27000,110
2026-07-01,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,23,32000,27000,110
2026-07-02,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,110
2026-07-03,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,24,32000,27000,110
2026-07-04,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,26,32000,27000,110
2026-07-05,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,18,32000,27000,110
2026-07-06,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,110
2026-07-07,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,25,32000,27000,110
2026-07-08,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,110
2026-07-09,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,12,32000,27000,110
2026-07-10,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,16,32000,27000,110
2026-07-11,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,30,32000,27000,110
2026-07-12,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,110
2026-07-13,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,110
2026-07-14,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,110
2026-07-15,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,110
2026-07-16,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,17,32000,27000,110
2026-07-17,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,6,32000,27000,110
2026-07-18,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,110
2026-07-19,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,23,32000,27000,110
2026-07-20,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,110
2026-07-21,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,23,32000,27000,110
2026-07-22,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,12,32000,27000,110
2026-07-23,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,16,32000,27000,110
2026-07-24,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,18,32000,27000,110
2026-07-25,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,45,32000,27000,110
2026-07-26,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,25,32000,27000,110
2026-07-27,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,32,32000,27000,110
2026-07-28,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,26,32000,27000,110
2026-07-29,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,110
2026-07-30,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,28,32000,27000,110
2026-07-31,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,27,32000,27000,110
2026-08-01,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,31,32000,27000,110
2026-08-02,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,24,32000,27000,110
2026-08-03,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,16,32000,27000,110
2026-08-04,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,18,32000,27000,110
2026-08-05,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,110
2026-08-06,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,23,32000,27000,110
2026-08-07,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,110
2026-08-08,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,51,32000,27000,110
2026-08-09,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,110
2026-08-10,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,17,32000,27000,110
2026-08-11,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,110
2026-08-12,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,110
2026-08-13,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,110
2026-08-14,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,17,32000,27000,110
2026-08-15,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,110
2026-08-16,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,110
2026-08-17,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,31,32000,27000,110
2026-08-18,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,110
2026-08-19,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,110
2026-08-20,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,110
2026-08-21,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,110
2026-08-22,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,28,32000,27000,110
2026-08-23,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,27,32000,27000,110
2026-06-25,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,27,17500,14500,150
2026-06-26,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,28,17500,14500,150
2026-06-27,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,48,17500,14500,150
2026-06-28,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,47,17500,14500,150
2026-06-29,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,31,17500,14500,150
2026-06-30,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,32,17500,14500,150
2026-07-01,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,39,17500,14500,150
2026-07-02,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,19,17500,14500,150
2026-07-03,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,24,17500,14500,150
2026-07-04,SKU-GULA-01,Gula Pasir Kristal Putih 1kg,28,17500,14500,150
