Date,ProductID,ProductName,Qty,Price,Cost,CurrentStock
2026-06-28,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,24,24500,19500,10
2026-06-28,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-06-29,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-06-29,SKU-MINYAK-02,Minyak Goreng Sawit 2L,21,38000,33000,22
2026-06-29,SKU-TELUR-01,Telur Ayam Ras 1kg,26,31000,26500,15
2026-06-29,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-06-29,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-06-29,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-06-29,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-06-30,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,18
2026-06-30,SKU-MINYAK-02,Minyak Goreng Sawit 2L,23,38000,33000,22
2026-06-30,SKU-TELUR-01,Telur Ayam Ras 1kg,28,31000,26500,15
2026-06-30,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,10,118000,106000,8
2026-06-30,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,20
2026-06-30,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,17,24500,19500,10
2026-06-30,SKU-KURMA-01,Kurma Palm Fruit 500g,6,45000,35000,6
2026-07-01,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,18
2026-07-01,SKU-MINYAK-02,Minyak Goreng Sawit 2L,30,38000,33000,22
2026-07-01,SKU-TELUR-01,Telur Ayam Ras 1kg,36,31000,26500,15
2026-07-01,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,8
2026-07-01,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,20
2026-07-01,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,21,24500,19500,10
2026-07-01,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-07-02,SKU-BERAS-05,Beras Ramos Premium 5kg,10,78000,68000,18
2026-07-02,SKU-MINYAK-02,Minyak Goreng Sawit 2L,19,38000,33000,22
2026-07-02,SKU-TELUR-01,Telur Ayam Ras 1kg,24,31000,26500,15
2026-07-02,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-02,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,20
2026-07-02,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,14,24500,19500,10
2026-07-02,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-03,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,18
2026-07-03,SKU-MINYAK-02,Minyak Goreng Sawit 2L,22,38000,33000,22
2026-07-03,SKU-TELUR-01,Telur Ayam Ras 1kg,29,31000,26500,15
2026-07-03,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,10,118000,106000,8
2026-07-03,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,20
2026-07-03,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,16,24500,19500,10
2026-07-03,SKU-KURMA-01,Kurma Palm Fruit 500g,6,45000,35000,6
2026-07-04,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,18
2026-07-04,SKU-MINYAK-02,Minyak Goreng Sawit 2L,31,38000,33000,22
2026-07-04,SKU-TELUR-01,Telur Ayam Ras 1kg,39,31000,26500,15
2026-07-04,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-07-04,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,20
2026-07-04,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,22,24500,19500,10
2026-07-04,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-07-05,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,18
2026-07-05,SKU-MINYAK-02,Minyak Goreng Sawit 2L,30,38000,33000,22
2026-07-05,SKU-TELUR-01,Telur Ayam Ras 1kg,37,31000,26500,15
2026-07-05,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,8
2026-07-05,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,20
2026-07-05,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,21,24500,19500,10
2026-07-05,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-07-06,SKU-BERAS-05,Beras Ramos Premium 5kg,9,78000,68000,18
2026-07-06,SKU-MINYAK-02,Minyak Goreng Sawit 2L,18,38000,33000,22
2026-07-06,SKU-TELUR-01,Telur Ayam Ras 1kg,23,31000,26500,15
2026-07-06,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,7,118000,106000,8
2026-07-06,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,12,32000,27000,20
2026-07-06,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,13,24500,19500,10
2026-07-06,SKU-KURMA-01,Kurma Palm Fruit 500g,4,45000,35000,6
2026-07-07,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-07-07,SKU-MINYAK-02,Minyak Goreng Sawit 2L,20,38000,33000,22
2026-07-07,SKU-TELUR-01,Telur Ayam Ras 1kg,25,31000,26500,15
2026-07-07,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-07,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-07-07,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-07-07,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-08,SKU-BERAS-05,Beras Ramos Premium 5kg,10,78000,68000,18
2026-07-08,SKU-MINYAK-02,Minyak Goreng Sawit 2L,19,38000,33000,22
2026-07-08,SKU-TELUR-01,Telur Ayam Ras 1kg,24,31000,26500,15
2026-07-08,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-08,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,20
2026-07-08,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,14,24500,19500,10
2026-07-08,SKU-KURMA-01,Kurma Palm Fruit 500g,4,45000,35000,6
2026-07-09,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-07-09,SKU-MINYAK-02,Minyak Goreng Sawit 2L,21,38000,33000,22
2026-07-09,SKU-TELUR-01,Telur Ayam Ras 1kg,27,31000,26500,15
2026-07-09,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-07-09,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-07-09,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-07-09,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-10,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,18
2026-07-10,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,22
2026-07-10,SKU-TELUR-01,Telur Ayam Ras 1kg,30,31000,26500,15
2026-07-10,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,11,118000,106000,8
2026-07-10,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,16,32000,27000,20
2026-07-10,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,17,24500,19500,10
2026-07-10,SKU-KURMA-01,Kurma Palm Fruit 500g,6,45000,35000,6
2026-07-11,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,18
2026-07-11,SKU-MINYAK-02,Minyak Goreng Sawit 2L,32,38000,33000,22
2026-07-11,SKU-TELUR-01,Telur Ayam Ras 1kg,40,31000,26500,15
2026-07-11,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,8
2026-07-11,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,22,32000,27000,20
2026-07-11,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,24,24500,19500,10
2026-07-11,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-07-12,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,18
2026-07-12,SKU-MINYAK-02,Minyak Goreng Sawit 2L,31,38000,33000,22
2026-07-12,SKU-TELUR-01,Telur Ayam Ras 1kg,38,31000,26500,15
2026-07-12,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-07-12,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,20
2026-07-12,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,23,24500,19500,10
2026-07-12,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-07-13,SKU-BERAS-05,Beras Ramos Premium 5kg,10,78000,68000,18
2026-07-13,SKU-MINYAK-02,Minyak Goreng Sawit 2L,18,38000,33000,22
2026-07-13,SKU-TELUR-01,Telur Ayam Ras 1kg,24,31000,26500,15
2026-07-13,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-13,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,20
2026-07-13,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,14,24500,19500,10
2026-07-13,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-14,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-07-14,SKU-MINYAK-02,Minyak Goreng Sawit 2L,20,38000,33000,22
2026-07-14,SKU-TELUR-01,Telur Ayam Ras 1kg,26,31000,26500,15
2026-07-14,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-07-14,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-07-14,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-07-14,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-15,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,18
2026-07-15,SKU-MINYAK-02,Minyak Goreng Sawit 2L,22,38000,33000,22
2026-07-15,SKU-TELUR-01,Telur Ayam Ras 1kg,27,31000,26500,15
2026-07-15,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-07-15,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,20
2026-07-15,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,16,24500,19500,10
2026-07-15,SKU-KURMA-01,Kurma Palm Fruit 500g,6,45000,35000,6
2026-07-16,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-07-16,SKU-MINYAK-02,Minyak Goreng Sawit 2L,21,38000,33000,22
2026-07-16,SKU-TELUR-01,Telur Ayam Ras 1kg,26,31000,26500,15
2026-07-16,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-16,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-07-16,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-07-16,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-17,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,18
2026-07-17,SKU-MINYAK-02,Minyak Goreng Sawit 2L,24,38000,33000,22
2026-07-17,SKU-TELUR-01,Telur Ayam Ras 1kg,30,31000,26500,15
2026-07-17,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,11,118000,106000,8
2026-07-17,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,16,32000,27000,20
2026-07-17,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,18,24500,19500,10
2026-07-17,SKU-KURMA-01,Kurma Palm Fruit 500g,7,45000,35000,6
2026-07-18,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,18
2026-07-18,SKU-MINYAK-02,Minyak Goreng Sawit 2L,33,38000,33000,22
2026-07-18,SKU-TELUR-01,Telur Ayam Ras 1kg,41,31000,26500,15
2026-07-18,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,8
2026-07-18,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,22,32000,27000,20
2026-07-18,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,25,24500,19500,10
2026-07-18,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-07-19,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,18
2026-07-19,SKU-MINYAK-02,Minyak Goreng Sawit 2L,32,38000,33000,22
2026-07-19,SKU-TELUR-01,Telur Ayam Ras 1kg,39,31000,26500,15
2026-07-19,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-07-19,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,20
2026-07-19,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,23,24500,19500,10
2026-07-19,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-07-20,SKU-BERAS-05,Beras Ramos Premium 5kg,10,78000,68000,18
2026-07-20,SKU-MINYAK-02,Minyak Goreng Sawit 2L,19,38000,33000,22
2026-07-20,SKU-TELUR-01,Telur Ayam Ras 1kg,24,31000,26500,15
2026-07-20,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-20,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,20
2026-07-20,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,14,24500,19500,10
2026-07-20,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-21,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-07-21,SKU-MINYAK-02,Minyak Goreng Sawit 2L,20,38000,33000,22
2026-07-21,SKU-TELUR-01,Telur Ayam Ras 1kg,25,31000,26500,15
2026-07-21,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-07-21,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-07-21,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-07-21,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-22,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,18
2026-07-22,SKU-MINYAK-02,Minyak Goreng Sawit 2L,22,38000,33000,22
2026-07-22,SKU-TELUR-01,Telur Ayam Ras 1kg,27,31000,26500,15
2026-07-22,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-07-22,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,20
2026-07-22,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,16,24500,19500,10
2026-07-22,SKU-KURMA-01,Kurma Palm Fruit 500g,6,45000,35000,6
2026-07-23,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-07-23,SKU-MINYAK-02,Minyak Goreng Sawit 2L,21,38000,33000,22
2026-07-23,SKU-TELUR-01,Telur Ayam Ras 1kg,26,31000,26500,15
2026-07-23,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-07-23,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-07-23,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-07-23,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-07-24,SKU-BERAS-05,Beras Ramos Premium 5kg,13,78000,68000,18
2026-07-24,SKU-MINYAK-02,Minyak Goreng Sawit 2L,25,38000,33000,22
2026-07-24,SKU-TELUR-01,Telur Ayam Ras 1kg,31,31000,26500,15
2026-07-24,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,11,118000,106000,8
2026-07-24,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,17,32000,27000,20
2026-07-24,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,18,24500,19500,10
2026-07-24,SKU-KURMA-01,Kurma Palm Fruit 500g,7,45000,35000,6
2026-07-25,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,18
2026-07-25,SKU-MINYAK-02,Minyak Goreng Sawit 2L,31,38000,33000,22
2026-07-25,SKU-TELUR-01,Telur Ayam Ras 1kg,40,31000,26500,15
2026-07-25,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-07-25,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,20
2026-07-25,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,23,24500,19500,10
2026-07-25,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-07-26,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,18
2026-07-26,SKU-MINYAK-02,Minyak Goreng Sawit 2L,33,38000,33000,22
2026-07-26,SKU-TELUR-01,Telur Ayam Ras 1kg,41,31000,26500,15
2026-07-26,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,8
2026-07-26,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,22,32000,27000,20
2026-07-26,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,25,24500,19500,10
2026-07-26,SKU-KURMA-01,Kurma Palm Fruit 500g,10,45000,35000,6
2026-07-27,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,18
2026-07-27,SKU-MINYAK-02,Minyak Goreng Sawit 2L,32,38000,33000,22
2026-07-27,SKU-TELUR-01,Telur Ayam Ras 1kg,38,31000,26500,15
2026-07-27,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-07-27,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,20
2026-07-27,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,24,24500,19500,10
2026-07-27,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-07-28,SKU-BERAS-05,Beras Ramos Premium 5kg,15,78000,68000,18
2026-07-28,SKU-MINYAK-02,Minyak Goreng Sawit 2L,29,38000,33000,22
2026-07-28,SKU-TELUR-01,Telur Ayam Ras 1kg,36,31000,26500,15
2026-07-28,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,8
2026-07-28,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,19,32000,27000,20
2026-07-28,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,21,24500,19500,10
2026-07-28,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-07-29,SKU-BERAS-05,Beras Ramos Premium 5kg,14,78000,68000,18
2026-07-29,SKU-MINYAK-02,Minyak Goreng Sawit 2L,27,38000,33000,22
2026-07-29,SKU-TELUR-01,Telur Ayam Ras 1kg,33,31000,26500,15
2026-07-29,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,12,118000,106000,8
2026-07-29,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,17,32000,27000,20
2026-07-29,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,20,24500,19500,10
2026-07-29,SKU-KURMA-01,Kurma Palm Fruit 500g,7,45000,35000,6
2026-07-30,SKU-BERAS-05,Beras Ramos Premium 5kg,15,78000,68000,18
2026-07-30,SKU-MINYAK-02,Minyak Goreng Sawit 2L,29,38000,33000,22
2026-07-30,SKU-TELUR-01,Telur Ayam Ras 1kg,35,31000,26500,15
2026-07-30,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,13,118000,106000,8
2026-07-30,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,18,32000,27000,20
2026-07-30,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,22,24500,19500,10
2026-07-30,SKU-KURMA-01,Kurma Palm Fruit 500g,8,45000,35000,6
2026-07-31,SKU-BERAS-05,Beras Ramos Premium 5kg,17,78000,68000,18
2026-07-31,SKU-MINYAK-02,Minyak Goreng Sawit 2L,32,38000,33000,22
2026-07-31,SKU-TELUR-01,Telur Ayam Ras 1kg,39,31000,26500,15
2026-07-31,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,15,118000,106000,8
2026-07-31,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,21,32000,27000,20
2026-07-31,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,24,24500,19500,10
2026-07-31,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-08-01,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,18
2026-08-01,SKU-MINYAK-02,Minyak Goreng Sawit 2L,34,38000,33000,22
2026-08-01,SKU-TELUR-01,Telur Ayam Ras 1kg,42,31000,26500,15
2026-08-01,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,16,118000,106000,8
2026-08-01,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,23,32000,27000,20
2026-08-01,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,26,24500,19500,10
2026-08-01,SKU-KURMA-01,Kurma Palm Fruit 500g,10,45000,35000,6
2026-08-02,SKU-BERAS-05,Beras Ramos Premium 5kg,16,78000,68000,18
2026-08-02,SKU-MINYAK-02,Minyak Goreng Sawit 2L,31,38000,33000,22
2026-08-02,SKU-TELUR-01,Telur Ayam Ras 1kg,38,31000,26500,15
2026-08-02,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,14,118000,106000,8
2026-08-02,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,20,32000,27000,20
2026-08-02,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,23,24500,19500,10
2026-08-02,SKU-KURMA-01,Kurma Palm Fruit 500g,9,45000,35000,6
2026-08-03,SKU-BERAS-05,Beras Ramos Premium 5kg,10,78000,68000,18
2026-08-03,SKU-MINYAK-02,Minyak Goreng Sawit 2L,19,38000,33000,22
2026-08-03,SKU-TELUR-01,Telur Ayam Ras 1kg,24,31000,26500,15
2026-08-03,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,8,118000,106000,8
2026-08-03,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,13,32000,27000,20
2026-08-03,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,14,24500,19500,10
2026-08-03,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-08-04,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-08-04,SKU-MINYAK-02,Minyak Goreng Sawit 2L,20,38000,33000,22
2026-08-04,SKU-TELUR-01,Telur Ayam Ras 1kg,25,31000,26500,15
2026-08-04,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-08-04,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-08-04,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-08-04,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-08-05,SKU-BERAS-05,Beras Ramos Premium 5kg,12,78000,68000,18
2026-08-05,SKU-MINYAK-02,Minyak Goreng Sawit 2L,22,38000,33000,22
2026-08-05,SKU-TELUR-01,Telur Ayam Ras 1kg,27,31000,26500,15
2026-08-05,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-08-05,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,15,32000,27000,20
2026-08-05,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,16,24500,19500,10
2026-08-05,SKU-KURMA-01,Kurma Palm Fruit 500g,6,45000,35000,6
2026-08-06,SKU-BERAS-05,Beras Ramos Premium 5kg,11,78000,68000,18
2026-08-06,SKU-MINYAK-02,Minyak Goreng Sawit 2L,21,38000,33000,22
2026-08-06,SKU-TELUR-01,Telur Ayam Ras 1kg,26,31000,26500,15
2026-08-06,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,9,118000,106000,8
2026-08-06,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,14,32000,27000,20
2026-08-06,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,15,24500,19500,10
2026-08-06,SKU-KURMA-01,Kurma Palm Fruit 500g,5,45000,35000,6
2026-08-07,SKU-BERAS-05,Beras Ramos Premium 5kg,14,78000,68000,18
2026-08-07,SKU-MINYAK-02,Minyak Goreng Sawit 2L,25,38000,33000,22
2026-08-07,SKU-TELUR-01,Telur Ayam Ras 1kg,32,31000,26500,15
2026-08-07,SKU-INDOMIE-01,Indomie Goreng Spesial Dus,11,118000,106000,8
2026-08-07,SKU-KOPI-01,Kopi Bubuk Kapal Api 380g,17,32000,27000,20
2026-08-07,SKU-SIRUP-01,Sirup Marjan Cocopandan 460ml,18,24500,19500,10
2026-08-07,SKU-KURMA-01,Kurma Palm Fruit 500g,7,45000,35000,6
2026-08-08,SKU-BERAS-05,Beras Ramos Premium 5kg,18,78000,68000,18
